,C,gamma,Accuracy,,
0,0.1,0.001,0.844444444,,0.968888889
1,0.1,0.002154435,0.844444444,,
2,0.1,0.004641589,0.844444444,,
3,0.1,0.01,0.844444444,,
4,0.1,0.021544347,0.835555556,,
5,0.1,0.046415888,0.844444444,,
6,0.1,0.1,0.875555556,,
7,0.1,0.215443469,0.88,,
8,0.1,0.464158883,0.902222222,,
9,0.1,1,0.915555556,,
10,0.166810054,0.001,0.844444444,,
11,0.166810054,0.002154435,0.844444444,,
12,0.166810054,0.004641589,0.844444444,,
13,0.166810054,0.01,0.844444444,,
14,0.166810054,0.021544347,0.835555556,,
15,0.166810054,0.046415888,0.866666667,,
16,0.166810054,0.1,0.862222222,,
17,0.166810054,0.215443469,0.897777778,,
18,0.166810054,0.464158883,0.937777778,,
19,0.166810054,1,0.946666667,,
20,0.27825594,0.001,0.844444444,,
21,0.27825594,0.002154435,0.844444444,,
22,0.27825594,0.004641589,0.844444444,,
23,0.27825594,0.01,0.844444444,,
24,0.27825594,0.021544347,0.866666667,,
25,0.27825594,0.046415888,0.88,,
26,0.27825594,0.1,0.911111111,,
27,0.27825594,0.215443469,0.942222222,,
28,0.27825594,0.464158883,0.946666667,,
29,0.27825594,1,0.937777778,,
30,0.464158883,0.001,0.844444444,,
31,0.464158883,0.002154435,0.844444444,,
32,0.464158883,0.004641589,0.844444444,,
33,0.464158883,0.01,0.853333333,,
34,0.464158883,0.021544347,0.866666667,,
35,0.464158883,0.046415888,0.906666667,,
36,0.464158883,0.1,0.942222222,,
37,0.464158883,0.215443469,0.955555556,,
38,0.464158883,0.464158883,0.951111111,,
39,0.464158883,1,0.946666667,,
40,0.774263683,0.001,0.844444444,,
41,0.774263683,0.002154435,0.844444444,,
42,0.774263683,0.004641589,0.844444444,,
43,0.774263683,0.01,0.866666667,,
44,0.774263683,0.021544347,0.888888889,,
45,0.774263683,0.046415888,0.942222222,,
46,0.774263683,0.1,0.955555556,,
47,0.774263683,0.215443469,0.964444444,,
48,0.774263683,0.464158883,0.942222222,,
49,0.774263683,1,0.942222222,,
50,1.291549665,0.001,0.844444444,,
51,1.291549665,0.002154435,0.844444444,,
52,1.291549665,0.004641589,0.875555556,,
53,1.291549665,0.01,0.884444444,,
54,1.291549665,0.021544347,0.933333333,,
55,1.291549665,0.046415888,0.955555556,,
56,1.291549665,0.1,0.968888889,,
57,1.291549665,0.215443469,0.96,,
58,1.291549665,0.464158883,0.946666667,,
59,1.291549665,1,0.937777778,,
60,2.15443469,0.001,0.844444444,,
61,2.15443469,0.002154435,0.857777778,,
62,2.15443469,0.004641589,0.871111111,,
63,2.15443469,0.01,0.924444444,,
64,2.15443469,0.021544347,0.951111111,,
65,2.15443469,0.046415888,0.968888889,,
66,2.15443469,0.1,0.964444444,,
67,2.15443469,0.215443469,0.946666667,,
68,2.15443469,0.464158883,0.933333333,,
69,2.15443469,1,0.937777778,,
70,3.593813664,0.001,0.844444444,,
71,3.593813664,0.002154435,0.862222222,,
72,3.593813664,0.004641589,0.888888889,,
73,3.593813664,0.01,0.937777778,,
74,3.593813664,0.021544347,0.96,,
75,3.593813664,0.046415888,0.968888889,,
76,3.593813664,0.1,0.96,,
77,3.593813664,0.215443469,0.951111111,,
78,3.593813664,0.464158883,0.933333333,,
79,3.593813664,1,0.942222222,,
80,5.994842503,0.001,0.875555556,,
81,5.994842503,0.002154435,0.884444444,,
82,5.994842503,0.004641589,0.928888889,,
83,5.994842503,0.01,0.955555556,,
84,5.994842503,0.021544347,0.968888889,,
85,5.994842503,0.046415888,0.964444444,,
86,5.994842503,0.1,0.964444444,,
87,5.994842503,0.215443469,0.942222222,,
88,5.994842503,0.464158883,0.937777778,,
89,5.994842503,1,0.942222222,,
90,10,0.001,0.875555556,,
91,10,0.002154435,0.924444444,,
92,10,0.004641589,0.955555556,,
93,10,0.01,0.964444444,,
94,10,0.021544347,0.96,,
95,10,0.046415888,0.968888889,,
96,10,0.1,0.955555556,,
97,10,0.215443469,0.942222222,,
98,10,0.464158883,0.937777778,,
99,10,1,0.937777778,,
